,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,0.3452707290649414,0.030869931239761537,0.0,0.0,8,0.001,"{'batch_size': 8, 'learning_rate': 0.001}",,,,,,,,9,,,,,,,,1
1,0.3619863510131836,0.019076119073960767,0.0,0.0,8,0.01,"{'batch_size': 8, 'learning_rate': 0.01}",,,,,,,,9,,,,,,,,1
2,0.154351806640625,0.17312535114737027,0.0,0.0,8,0.1,"{'batch_size': 8, 'learning_rate': 0.1}",,,,,,,,9,,,,,,,,1
3,0.012057685852050781,0.0017739854614843907,0.0,0.0,8,1.0,"{'batch_size': 8, 'learning_rate': 1.0}",,,,,,,,9,,,,,,,,1
4,0.014800596237182616,0.003714843175559995,0.0,0.0,16,0.001,"{'batch_size': 16, 'learning_rate': 0.001}",,,,,,,,9,,,,,,,,1
5,0.012575960159301758,0.0021079366411942027,0.0,0.0,16,0.01,"{'batch_size': 16, 'learning_rate': 0.01}",,,,,,,,9,,,,,,,,1
6,0.011905908584594727,0.0007409135137338714,0.0,0.0,16,0.1,"{'batch_size': 16, 'learning_rate': 0.1}",,,,,,,,9,,,,,,,,1
7,0.012837553024291992,0.0014490061046517465,0.0,0.0,16,1.0,"{'batch_size': 16, 'learning_rate': 1.0}",,,,,,,,9,,,,,,,,1
8,6.372107076644897,0.15388560595926035,0.18071513175964354,0.026160070689000937,32,0.001,"{'batch_size': 32, 'learning_rate': 0.001}",0.56,0.44,0.45,0.51,0.51,0.49399999999999994,0.04409081537009722,1,,,,,,,,1
9,3.542303705215454,0.08008283877668147,0.1700517177581787,0.03308371497137568,32,0.01,"{'batch_size': 32, 'learning_rate': 0.01}",0.53,0.43,0.41,0.53,0.49,0.4779999999999999,0.0499599839871872,6,,,,,,,,1
10,2.85343337059021,0.7545795460239915,0.11186008453369141,0.1372047051651851,32,0.1,"{'batch_size': 32, 'learning_rate': 0.1}",0.51,0.43,0.45,0.46,0.52,0.47400000000000003,0.03498571136907181,8,,,,,,,,1
11,2.68896164894104,0.7753388700448975,0.003592777252197266,0.0007970999031763195,32,1.0,"{'batch_size': 32, 'learning_rate': 1.0}",0.48,0.49,0.48,0.43,0.54,0.484,0.03498571136907182,4,,,,,,,,1
12,6.910397863388061,0.06711677882117774,0.0024000167846679687,0.0004898041161700017,64,0.001,"{'batch_size': 64, 'learning_rate': 0.001}",0.58,0.43,0.41,0.51,0.5,0.48599999999999993,0.060860496218811753,2,,,,,,,,1
13,3.1518048286437987,0.18258476604817794,0.0037999629974365236,0.0017203958187367687,64,0.01,"{'batch_size': 64, 'learning_rate': 0.01}",0.53,0.43,0.49,0.5,0.48,0.48599999999999993,0.03261901286060019,2,,,,,,,,1
14,2.9042530059814453,1.0769707756969369,0.0028005599975585937,0.00040011458509963245,64,0.1,"{'batch_size': 64, 'learning_rate': 0.1}",0.58,0.41,0.44,0.47,0.49,0.4779999999999999,0.057758116312774596,6,,,,,,,,1
15,2.105538749694824,0.539014781615531,0.0016004085540771485,0.0004899018233630471,64,1.0,"{'batch_size': 64, 'learning_rate': 1.0}",0.61,0.42,0.43,0.46,0.5,0.484,0.06887670143089025,4,,,,,,,,1
