,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,64.81657552719116,5.268666242235476,1.1134194374084472,0.06790300917469103,32,0.001,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
1,35.08426284790039,3.473853559693171,1.5801963329315185,0.1774081912463426,32,0.001,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
2,36.16201686859131,2.8980772772929155,1.3113619327545165,0.2434563815136479,32,0.001,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
3,36.74499855041504,2.5896875668536756,1.2822124004364013,0.14738105479222235,32,0.001,1,15,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
4,19.50458354949951,1.4476806266891373,0.7012146949768067,0.09998688558799775,32,0.01,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9967069154774972,0.9978046103183315,0.9980243900090511,0.0008216970459049945,6,,,,,,,,1
5,15.812770223617553,2.8166664760512816,0.7859922409057617,0.025983305255150375,32,0.01,1,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 5}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.995609220636663,0.9978048510408841,0.0012026842760720392,7,,,,,,,,1
6,17.52214388847351,2.8664699276199985,1.0503249168395996,0.1712228210212611,32,0.01,1,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 10}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
7,18.796591806411744,3.1473861012727893,1.199744462966919,0.09146330000820103,32,0.01,1,15,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 15}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.995609220636663,0.9978048510408841,0.0012026842760720392,7,,,,,,,,1
8,10.059449720382691,1.3441368638555826,0.6446948051452637,0.01163003209280432,32,0.1,1,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 1}",0.9967105263157895,0.9890230515916575,0.9978046103183315,0.9978046103183315,0.9945115257958288,0.9951708648679876,0.0033007309390787167,10,,,,,,,,1
9,11.589444637298584,1.5523896060379458,0.8181923866271973,0.10575538535842985,32,0.1,1,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 5}",0.9594298245614035,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9967069154774972,0.9901296531669459,0.015365605835366784,12,,,,,,,,1
10,11.743009328842163,1.3605273930496402,0.8061750411987305,0.0922803006917801,32,0.1,1,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 10}",0.9967105263157895,0.9945115257958288,0.9890230515916575,0.9945115257958288,0.9890230515916575,0.9927559362181524,0.0031518828544305215,11,,,,,,,,1
11,11.76612138748169,1.7927641104284424,0.66645827293396,0.07193454906665403,32,0.1,1,15,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 15}",0.9989035087719298,0.9934138309549945,0.9923161361141603,0.9978046103183315,0.9967069154774972,0.9958290003273825,0.002541638451888454,9,,,,,,,,1
